SummaryLevel,State,StateFIPS,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,GA,13,04000US13,Georgia,7515613,3613893,519649,13465,92020,174498,190904,15793,30989,1980,676044,34791,75010,197343,152310,43358,127818,45414,673241,37424,62521,191729,136829,44426,128938,71374,1231214,57454,115646,371441,244457,80202,225147,136867,513745,52201,53798,146888,90494,23559,81646,65159,3901720,495759,7284,65736,140030,214405,20846,43844,3614,691240,23715,54731,148000,169872,61119,157986,75817,708954,28279,46444,155981,160119,67060,151532,99539,1329045,49470,101525,386311,290272,116932,234190,150345,676722,69785,85903,248231,122282,28809,70929,50783,6500205,3094244,42192,23655,49757,66266,70366,88203,90807,57599,907401,166058,458032,191545,563549,208083,67107,43624,3405961,42945,20759,41894,65651,62270,84287,87230,54816,938523,202813,539732,273920,614637,282457,58942,35085,6500205,85137,721,1296,4160,7047,17373,13817,21284,70367,43132,88785,132636,172490,178037,112415,1529871,316053,368871,997764,465465,1178186,490540,126049,78709,4132490,2013299,281749,564100,523871,643579,2119191,258225,601988,605973,653005,1885972,842659,149252,292534,246513,154360,1043313,148200,285136,358028,251949,16782,8693,2313,2251,2133,1996,8089,1471,2202,2704,1712,238369,111732,12799,17006,18649,63278,126637,20419,23880,21505,60833,2696,1319,145,484,462,228,1377,193,526,497,161,144129,80195,37772,22676,12062,7685,63934,26380,16363,13004,8187,79767,36347,4815,8350,11945,11237,43420,4964,8428,14754,15274,3834609,1854814,215314,523458,496913,619129,1979795,205853,567235,578366,628341,472587,255102,110201,67102,43657,34142,217485,82685,54120,45500,35180,1873484,882363,267582,108970,13682,72175,11619,61136,467976,186222,26126,144386,25286,85956,146805,59279,8443,41569,13672,23842,991121,355918,103413,39213,74354,51330,87608,513491,120267,59940,118589,106868,107827,121712,20082,14782,10561,49147,27140,1986509,99823,104500,57794,93078,140953,137302,10695,174150,473536,267003,75601,89177,69667,79825,113405,1873484,598233,162186,461634,257922,393509,1296584,395939,109232,316429,195902,279082,406309,121274,38409,109523,51606,85497,3708,1142,451,847,458,810,124111,65121,10917,24278,5380,18415,389,162,41,115,28,43,15872,4674,1207,4607,1784,3600,26511,9921,1929,5835,2764,6062,1247470,377195,105276,304241,191581,269177,69322,24683,5328,18256,6735,14320
40,HI,15,04000US15,Hawaii,1098102,551739,75207,781,5724,31939,28375,3926,4146,316,109577,1216,4920,34463,29698,11957,21564,5759,89875,1660,4280,25850,20703,10346,18241,8795,179196,5369,8279,50016,40282,19443,35792,20015,97884,7831,6534,28060,17592,6732,17296,13839,546363,60843,456,4069,19421,25868,4151,6504,374,95986,866,3635,21189,24234,11339,24992,9731,85612,1218,2798,20150,18663,10464,21104,11215,182156,6967,7203,46614,39832,21064,39712,20764,121766,14393,9138,41994,20809,7537,17309,10586,962052,476532,4620,2549,4318,4589,3787,7426,6570,6230,138389,26840,81435,48478,92893,28602,12320,7486,485520,5611,3062,7988,6783,4765,5879,5401,6729,129947,26775,76763,50404,103117,37553,9424,5319,962052,10231,112,328,499,1009,1907,1756,2294,10012,2895,8477,8552,13305,11971,12959,245959,22377,53615,158198,98882,196010,66155,21744,12805,268737,146837,5782,30599,50966,59490,121900,4763,23716,41208,52213,17520,11462,451,2533,5680,2798,6058,196,647,3393,1822,2340,1226,149,416,502,159,1114,133,264,395,322,414315,186587,21206,50790,57277,57314,227728,29916,59546,64325,73941,82683,41556,4896,19206,12526,4928,41127,5029,17251,12815,6032,10167,5617,778,1647,1938,1254,4550,570,1357,1383,1240,166290,83247,6827,33198,27864,15358,83043,5611,27166,30423,19843,247755,135364,4524,26879,47019,56942,112391,3851,21243,37728,49569,68585,34955,4285,12561,11678,6431,33630,3381,9797,12687,7765,296714,141301,40698,18322,2755,8999,1406,9216,69468,31343,3876,16251,4329,13669,31135,14736,1167,7103,3567,4562,155413,51126,15557,6699,10040,5499,13331,76392,20694,9873,15396,13105,17324,27895,5115,2902,2335,11299,6244,314316,11108,22248,9528,17173,31806,19629,1993,29093,61681,40417,14897,14512,13160,11002,16069,296714,105767,27272,60124,39205,64346,111703,44083,9313,18291,11987,28029,4620,1538,410,1315,381,976,481,195,82,46,60,98,131255,43022,13567,31203,20429,23034,10960,3251,716,2206,1856,2931,2494,975,156,465,214,684,35201,12703,3028,6598,4278,8594,106511,42161,8820,17246,11495,26789,14196,5031,1544,2820,1578,3223
40,ID,16,04000US16,Idaho,1186901,590101,80347,1145,11502,29811,31120,3370,3188,211,108215,3341,7873,31883,30506,9797,18924,5891,100360,4888,6945,26211,24892,8608,19376,9440,196766,8868,12140,54099,49769,18877,33925,19088,104413,6063,7963,27459,26290,5967,17275,13396,596800,75806,777,8096,22866,33067,4813,5662,525,104168,2753,6071,24802,30180,11960,21635,6767,97654,3417,4929,22568,25653,11377,21802,7908,200771,7145,9746,54217,58301,21038,34947,15377,118401,5699,10665,41997,32109,7093,14351,6487,1030748,509754,5876,3362,6364,7558,6684,9148,10471,8618,139652,39788,91669,43249,89500,30573,10032,7210,520994,5223,3065,4929,5797,6027,8489,9490,7405,143584,48592,97651,51468,92735,28309,4787,3443,1030748,11099,135,158,742,1151,2378,1863,2038,9255,2879,10476,12711,17637,19961,16023,230642,52594,88380,189320,94717,182235,58882,14819,10653,961720,474606,48851,130742,164242,130771,487114,42612,134889,187911,121702,4993,3257,375,628,1384,870,1736,321,419,462,534,12251,5895,1148,2048,2138,561,6356,928,2154,2457,817,14557,6141,717,1056,1496,2872,8416,1356,1828,1831,3401,974,589,135,225,115,114,385,70,144,124,47,20410,11041,5514,2621,2265,641,9369,4158,2379,1751,1081,15843,8225,1341,2332,3066,1486,7618,980,1771,3175,1692,895211,439886,33314,121783,157090,127699,455325,31220,126293,179590,118222,91079,48065,21713,12349,10123,3880,43014,16136,11329,10858,4691,266589,137315,39501,17406,2183,8909,2646,8357,67143,29858,4534,14987,5656,12108,30671,14168,1746,6240,4129,4388,129274,43055,11052,6508,6258,7746,11491,65381,15306,9897,10781,15650,13747,20838,3117,2832,1552,8954,4383,287357,9550,25958,9452,11824,19334,20175,1772,30359,50977,47570,11162,12159,8995,10253,17817,266589,90907,27700,48727,44781,54474,252473,84728,26484,45607,43620,52034,1404,572,25,502,73,232,1378,460,137,266,179,336,6273,3458,498,1143,362,812,161,46,26,26,39,24,1722,488,71,531,161,471,3178,1155,459,652,347,565,245921,81851,26038,44452,42572,51008,8571,3502,616,1719,1227,1507
40,IL,17,04000US17,Illinois,9850027,4774593,637720,11107,89018,195271,243546,32574,61672,4532,893417,33304,62852,219749,196319,68329,223205,89659,842090,45910,56928,213926,172550,61618,181019,110139,1656946,84402,108380,467289,358721,124291,304893,208970,744420,67976,64827,230429,140403,32061,106308,102416,5075434,612129,6764,62536,154179,260986,38707,82027,6930,888147,24506,45298,162630,190458,77914,256101,131240,846572,38758,45382,174507,172294,83319,198313,133999,1735018,79965,90851,456870,395160,166416,333180,212576,993568,93362,95616,382909,190872,44956,108768,77085,8600178,4136873,50534,27178,74797,79083,57278,72249,81718,81742,1131393,264902,603091,286299,815425,341254,108953,60977,4463305,50577,28770,73126,84118,53686,72135,80767,70559,1176916,303886,644898,372605,896362,437108,74578,43214,8600178,101111,1036,1302,4404,10029,21969,17208,22960,124963,29039,134162,110964,144384,162485,152301,1999566,308743,568788,1247989,658904,1711787,778362,183531,104191,6470422,3137256,315678,861570,891288,1068720,3333166,309055,914387,985341,1124383,1143177,511527,88452,166060,172038,84977,631650,87047,166589,236765,141249,18528,9046,1989,2370,2950,1737,9482,2093,2494,3220,1675,445785,209325,15821,21786,34737,136981,236460,26887,28233,38629,142711,2243,1192,140,342,450,260,1051,147,256,304,344,412819,217148,95586,67474,37015,17073,195671,82158,55035,37823,20655,107204,51379,6913,11791,15814,16861,55825,6351,9922,19307,20245,5776512,2783311,191355,754593,817234,1020129,2993201,198208,821680,906189,1067124,1147100,590819,226097,180080,116287,68355,556281,198006,152186,123538,82551,2777871,1326609,455868,188727,24540,114170,21020,107411,662017,273488,39222,180425,40911,127971,208724,85587,10608,49097,28119,35313,1451262,555929,162518,60660,106529,76768,149454,709480,165864,97641,143906,137522,164547,185853,31079,24328,13649,74225,42572,2980422,141872,154107,89771,142070,231433,207674,19752,273507,629825,393733,129226,147376,129383,141640,149053,2777871,907263,256999,607776,378565,627268,2193103,677082,191315,481437,324508,518761,226226,64434,20612,54461,31681,55038,3412,1181,335,663,465,768,279692,138709,38057,54004,13824,35098,604,223,95,102,58,126,37728,11557,3448,9303,4861,8559,37106,14077,3137,7806,3168,8918,2087253,642345,182617,455261,311781,495249,150906,48743,12469,37410,18484,33800
40,IN,18,04000US18,Indiana,4981994,2423260,339568,8241,57331,114306,125464,9739,22605,1882,421971,15598,39082,130244,96607,34447,79054,26939,414093,17010,31351,134533,89238,37485,70854,33622,852132,29289,65598,321355,172190,64095,125348,74257,395496,27872,39509,152283,71893,15905,42770,45264,2558734,326153,5458,42929,90256,141462,12386,31881,1781,418696,12093,30944,90216,104058,47197,96812,37376,413346,12633,24857,104682,94700,50221,85963,40290,882904,25350,57240,320222,185601,86265,128875,79351,517635,33023,63405,240767,86939,20020,35071,38410,4316273,2083692,20769,7094,17125,44781,35194,51031,52038,37277,738415,136854,293074,151932,318026,118267,35676,26139,2232581,18550,7320,13913,43316,34268,54645,55208,32325,755887,151014,320284,203703,346721,157018,21508,16901,4316273,39319,512,598,1360,2303,5165,4476,5475,25563,13737,74360,69462,105676,107246,69602,1272879,221423,287868,613358,355635,664747,275285,57184,43040,3748089,1814151,210965,652897,507349,442940,1933938,208668,671715,576313,477242,357095,164267,27973,58429,53817,24048,192828,26038,60210,73118,33462,10177,5092,1131,1902,1433,626,5085,1179,1375,1916,615,73037,34080,3795,4466,4106,21713,38957,5878,6179,6443,20457,1197,601,101,205,141,154,596,84,226,179,107,78607,41950,17585,13552,7285,3528,36657,14545,10470,7875,3767,48071,23551,3759,6964,7729,5099,24520,3153,5712,9157,6498,3628363,1750866,188186,632991,495118,434571,1877497,189835,656756,562788,468118,207901,109851,42140,34971,20787,11953,98050,34986,26487,23165,13412,1040256,498108,157205,60393,12344,37118,10049,37301,252869,95170,21032,66954,21783,47930,88034,34489,6157,17465,16628,13295,542148,196852,47136,30320,32006,36250,51140,271815,50426,46790,53870,64187,56542,73481,8651,10622,4946,34039,15223,1121281,41817,64951,36473,43938,61534,72935,4848,135408,221435,190143,38469,66856,35437,39339,67698,1040256,296265,127265,212359,182936,221431,920182,251357,111955,188359,171269,197242,57510,15372,6736,15207,6837,13358,1241,310,193,184,253,301,42170,22848,5952,5120,2359,5891,261,43,36,76,20,86,7295,2442,1137,1465,804,1447,11597,3893,1256,1948,1394,3106,902689,245803,110266,184315,169097,193208,25365,8086,2842,5591,3174,5672
40,IA,19,04000US19,Iowa,2366903,1162790,163273,2436,17786,47381,70162,11851,12963,694,199003,4990,11656,53803,44808,25726,44655,13365,183941,5437,9790,52058,41420,22854,35172,17210,407544,11191,20631,146422,86947,41341,66780,34232,209029,13999,15364,86114,36776,8684,26432,21660,1204113,154286,1932,13042,34705,73753,12476,17398,980,190901,3977,7397,32964,43847,30094,53938,18684,179850,5143,6264,35141,38696,28795,45076,20735,408337,8997,15322,126111,95550,55534,72554,34269,270739,14872,19514,127635,52766,14300,27827,13825,2049344,999517,7250,2949,6175,19243,10290,15120,18023,14008,338397,71352,138599,98605,173039,53630,19381,13456,1049827,7217,2795,5305,17672,9024,12398,16173,10902,321851,80899,149960,128723,199395,66955,11611,8947,2049344,14467,232,198,617,879,2401,1417,2219,9261,4453,32462,19314,27518,34196,24910,577079,83169,152251,288559,227328,372434,120585,30992,22403,1915126,930012,77451,319754,290238,242569,985114,67969,306792,339843,270510,50840,27035,4739,9142,8678,4476,23805,4056,6032,9489,4228,6141,2927,548,844,1089,446,3214,500,874,1445,395,37137,17430,2653,2722,3125,8930,19707,3467,3491,3585,9164,1127,636,134,276,168,58,491,90,167,158,76,20761,12001,6221,2641,2136,1003,8760,4167,2168,1664,761,18212,9476,1312,3018,3122,2024,8736,1237,2327,3398,1774,1862255,902853,66291,312862,284663,239037,959402,58508,299902,334160,266832,77220,41034,18280,10291,8029,4434,36186,14226,9459,7857,4644,546414,259506,83482,36244,3962,20533,5856,16887,127932,50742,7533,32993,13657,23007,48092,18467,2853,9582,9970,7220,286908,106497,26875,12914,21395,18229,27084,138759,24567,19765,26771,37911,29745,41652,4571,4831,2053,21125,9072,595028,20614,48891,17543,24998,35202,30631,2577,56187,117953,112029,20781,30289,19341,21128,36864,546414,161466,51858,113327,106748,113015,513079,145716,48727,107882,103941,106813,8704,3025,610,1918,838,2313,841,330,116,81,129,185,18094,10087,1921,2648,1174,2264,134,65,13,16,38,2,1764,753,138,243,183,447,3798,1490,333,539,445,991,505869,143053,48211,106343,102898,105364,9078,3347,595,1799,1331,2006
40,KS,20,04000US20,Kansas,2169470,1070080,157105,2617,20071,46846,66859,8883,11225,604,197404,6608,14860,49719,50636,16904,43540,15137,175410,7601,11696,42273,42798,14668,36718,19656,362932,12748,20098,106893,86626,24728,70186,41653,177229,10275,10740,58791,37639,7007,28906,23871,1099390,142667,1429,14127,33769,67154,9964,14938,1286,187915,5111,10936,32761,46665,20500,50856,21086,170392,5941,8686,31871,39311,19229,42240,23114,371350,10821,15902,96691,95036,34977,74479,43444,227066,13564,17319,86584,53561,10710,27295,18033,1869698,912975,8306,4484,9623,14819,12370,14283,17837,12904,257676,71554,146145,63307,179350,66578,20577,13162,956723,7540,3765,8274,15858,10945,13807,16226,11865,247907,80570,154003,85416,194870,84335,12625,8717,1869698,15846,193,254,773,1206,3158,2665,3127,14770,5501,25176,23315,28090,34063,24769,425864,79719,152124,300148,148723,374220,150913,33202,21879,1639163,797547,73071,225482,246181,252813,841616,67733,220200,281997,271686,99307,49877,6620,16248,18261,8748,49430,6060,13239,19862,10269,14295,7042,887,2129,2582,1444,7253,908,1933,3185,1227,47185,21977,3570,3209,3939,11259,25208,4761,4820,4152,11475,1036,641,48,198,133,262,395,69,83,154,89,34700,18731,8442,5728,3455,1106,15969,6888,3781,3934,1366,34012,17160,1988,4682,6455,4035,16852,1861,3851,6705,4435,1527445,739488,49968,209921,234307,245292,787957,48360,206032,268983,264582,154663,81206,32583,22784,16509,9330,73457,27251,18736,18344,9126,580214,279667,86166,35872,5219,20107,6027,18941,140724,54569,8535,38511,13094,26015,52777,20113,2923,12904,8994,7843,300547,105027,25752,14839,20050,17941,26445,150192,27093,22351,30675,37757,32316,45328,5549,5227,3716,21628,9208,626609,23566,44250,17899,24971,36300,36861,3146,64304,130655,109947,20094,30682,21951,24818,37165,580214,168948,59094,125963,105441,120768,524499,146730,53083,114255,99980,110451,19017,5143,2176,5129,2289,4280,2671,754,247,596,432,642,22734,12520,2443,3603,1149,3019,351,129,28,35,40,119,2472,917,201,666,385,303,8470,2755,916,1679,1166,1954,509874,142131,51695,110496,97881,107671,18456,5893,1812,4685,2592,3474
40,KY,21,04000US21,Kentucky,3381288,1643332,219043,4217,31776,83091,78728,7849,12400,982,283543,9623,25045,96722,66495,20917,45938,18803,282569,11348,25025,100605,61310,18927,40073,25281,582236,35237,60272,219108,111174,34315,72920,49210,275941,47235,30412,87687,45478,8792,28750,27587,1737956,207029,2832,21338,61839,91699,10459,17321,1541,282406,6846,19310,63718,75411,31659,55327,30135,281775,8118,18789,73204,65144,33863,48650,34007,609712,26777,47397,212562,130018,59346,71644,61968,357034,51939,44337,140247,58270,13590,23252,25399,2955216,1424289,17978,9478,15706,60281,34602,43075,40712,22365,504122,90328,194129,82951,187681,76806,27398,16677,1530927,14859,6586,12695,59540,31789,40524,38610,18910,489731,106479,222364,138458,198873,119311,21073,11125,2955216,32837,420,439,1266,2417,5764,5758,8026,20375,22487,97334,66391,83599,79322,41275,788112,205741,196807,416493,221409,386554,196117,48471,27802,2649281,1276127,216977,453377,326216,279557,1373154,197881,447308,412818,315147,212931,102259,16697,39825,31081,14656,110672,16156,32722,42251,19543,6250,3075,793,1006,753,523,3175,744,954,865,612,34710,15604,1908,1956,2173,9567,19106,3247,3033,3364,9462,1034,489,50,203,166,70,545,45,120,213,167,20681,12461,5600,3550,1831,1480,8220,3393,2260,1404,1163,30329,14274,2172,4205,5188,2709,16055,2047,3334,6386,4288,2604049,1251069,208890,445647,321469,275063,1352980,192838,441089,407921,311132,70941,40178,14521,12256,7284,6117,30763,8897,9050,7217,5599,658944,308562,96322,38484,6104,22320,5225,24189,155903,58977,10711,40431,14237,31547,56337,21140,3423,13435,8585,9754,350382,125966,32504,18849,21557,21098,31958,175765,35365,28677,30141,43943,37639,48651,6150,5307,3424,22978,10792,711586,26362,46286,23913,31964,44764,36491,4063,78944,135983,121316,28366,38706,20925,28193,45310,658944,192620,73071,131308,116066,145879,594704,170224,66457,117192,108698,132133,34199,8592,3277,8479,5203,8648,1135,315,145,259,102,314,19029,9900,2240,3292,1042,2555,237,18,31,71,11,106,2643,1075,96,785,321,366,6997,2496,825,1230,689,1757,586195,166847,65866,115650,107531,130301,11716,4612,883,2348,1495,2378
40,LA,22,04000US22,Louisiana,3510657,1693183,237934,8643,43772,80451,86399,4759,12703,1207,327508,14509,42321,106975,72244,19241,53890,18328,280899,13078,32660,98632,59777,15646,41347,19759,581915,36417,67702,215448,119810,24508,76218,41812,264927,33335,29549,85848,48987,6433,33764,27011,1817474,232682,4778,32311,67437,100124,7519,19308,1205,330310,9118,29848,82133,86551,26238,70561,25861,286602,6819,24120,80676,67782,25090,54727,27388,620138,24554,55731,223695,135741,40968,89481,49968,347742,38863,46308,137749,59289,10336,31054,24143,3040041,1455249,20524,10449,20696,45670,36405,50962,56638,28227,506903,74835,225983,65828,205219,61425,28396,17089,1584792,17984,8918,15077,37375,30592,46610,55417,23388,524253,87526,261837,102632,245823,97401,19145,10814,3040041,38508,469,647,1511,2282,7750,6708,11244,24529,28280,54765,66997,97572,112055,51615,870720,160436,162361,487820,168460,451042,158826,47541,27903,2018637,984031,143295,332436,255519,252781,1034606,122533,349464,288507,274102,888194,404127,108004,155910,97205,43008,484067,96793,158718,147105,81451,17715,8934,3456,2900,1753,825,8781,2505,3054,2086,1136,51367,24190,5472,4646,3719,10353,27177,7168,5190,4773,10046,1103,456,75,135,172,74,647,198,169,138,142,28998,17053,5813,6095,3409,1736,11945,3233,3199,3443,2070,34027,16458,3456,4781,4869,3352,17569,2931,4459,5943,4236,1927011,933885,128226,317250,244636,243773,993126,112576,337668,277791,265091,129714,72478,22954,22980,15305,11239,57236,14256,16051,15284,11645,685312,312129,102995,40295,7444,23304,3695,28257,148359,56305,12635,39392,10488,29539,60775,23597,3944,13947,10269,9018,373183,137740,36171,22027,24374,18480,36688,180246,32411,29729,32783,47952,37371,55197,5516,6294,4949,27782,10656,725980,20252,48212,25095,29511,38297,43767,3162,87334,142706,122793,23257,51714,23702,22824,43354,685312,194295,82073,138749,118666,151529,526883,147766,63690,108012,89981,117434,124459,31307,14575,25102,25546,27929,1961,507,178,304,380,592,20399,10364,2585,3328,1400,2722,216,32,17,80,18,69,3806,1569,290,694,428,825,7588,2750,738,1229,913,1958,508864,141645,61775,104178,87741,113525,22884,7956,2271,4915,2661,5081
40,ME,23,04000US23,Maine,1066847,515621,58322,667,6522,19468,24168,2614,4594,289,74523,987,4772,24378,17583,6991,15716,4096,78080,1001,3866,26958,16931,8566,14675,6083,199559,4495,11671,73779,38242,18240,33503,19629,105137,9156,7808,33934,16123,5274,17465,15377,551226,55748,425,5505,15617,25309,2506,6128,258,76050,986,2466,18244,19078,8035,20097,7144,80598,826,2531,20409,16951,10851,19619,9411,209859,3449,7181,66892,42957,24964,39954,24462,128971,8180,10230,51962,21995,7674,17346,11584,952777,457299,2739,768,1666,10466,6167,7856,8476,5618,159049,27463,61416,39071,81359,28098,9960,7127,495478,2944,808,1469,8220,5230,6718,6397,4063,157507,31325,69656,51524,97016,41268,6427,4906,952777,5683,66,111,104,186,445,664,1035,2100,3146,15540,11397,14574,14873,9681,266649,49907,58788,131072,90595,178375,69366,16387,12033,918642,440372,40992,153753,123213,122414,478270,32573,153528,147281,144888,7061,4429,684,1275,1484,986,2632,645,745,701,541,4981,2215,339,787,811,278,2766,450,621,1197,498,9227,3699,764,719,714,1502,5528,1260,886,1151,2231,140,47,0,21,16,10,93,36,18,37,2,1545,927,207,355,180,185,618,127,139,135,217,11181,5610,770,2139,1532,1169,5571,758,1570,2003,1240,910950,436876,40545,152767,122315,121249,474074,32200,152607,145653,143614,9980,4862,789,1415,1286,1372,5118,524,1159,1887,1548,276161,126544,29168,12573,1828,5339,1670,7758,64534,27766,4075,12418,5664,14611,32842,14007,1367,5194,4705,7569,149617,41616,14129,5138,5252,5396,11701,79071,20055,11866,10512,15715,20923,28930,5769,3597,1345,9931,8288,298608,8843,23773,8931,16552,26241,15803,2759,30125,41517,45083,19811,19187,14679,8701,16603,276161,94299,27871,40060,43081,70850,267302,90541,26882,38844,42535,68500,1527,684,136,223,124,360,776,180,100,90,100,306,3733,1760,472,522,96,883,12,0,0,6,0,6,402,223,46,61,11,61,2409,911,235,314,215,734,264863,89761,26615,38466,42355,67666,2920,980,299,459,228,954
